iter	Passed	Remaining
422	2353	3210
423	2359	3205
424	2365	3199
425	2370	3193
426	2375	3187
427	2381	3183
428	2387	3177
429	2392	3171
430	2398	3167
431	2404	3161
432	2409	3155
433	2415	3150
434	2420	3143
435	2425	3137
436	2430	3131
437	2435	3125
438	2440	3119
439	2446	3113
440	2450	3106
441	2456	3101
442	2463	3097
443	2468	3091
444	2473	3085
445	2479	3080
446	2484	3074
447	2489	3067
448	2495	3062
449	2500	3056
450	2505	3050
451	2511	3044
452	2516	3038
453	2521	3032
454	2527	3026
455	2532	3020
456	2536	3014
457	2541	3007
458	2546	3001
459	2552	2996
460	2557	2990
461	2564	2985
462	2569	2979
463	2574	2973
464	2579	2967
465	2584	2961
466	2589	2955
467	2594	2948
468	2598	2942
469	2604	2937
470	2610	2931
471	2615	2925
472	2620	2920
473	2625	2914
474	2630	2907
475	2636	2901
476	2641	2896
477	2646	2890
478	2652	2885
479	2659	2880
480	2665	2876
481	2670	2870
482	2675	2864
483	2680	2858
484	2687	2853
485	2692	2847
486	2697	2841
487	2702	2835
488	2708	2830
489	2713	2823
490	2719	2819
491	2725	2814
492	2731	2808
493	2738	2805
494	2744	2799
495	2748	2793
496	2755	2788
497	2761	2783
498	2767	2778
499	2772	2772
500	2778	2767
501	2784	2762
502	2789	2756
503	2795	2750
504	2801	2745
505	2806	2740
506	2812	2735
507	2819	2731
508	2825	2725
509	2830	2719
510	2836	2714
511	2841	2708
512	2846	2702
513	2852	2696
514	2857	2690
515	2862	2684
516	2868	2679
517	2873	2673
518	2877	2667
519	2883	2661
520	2889	2656
521	2894	2650
522	2901	2646
523	2906	2639
524	2911	2634
525	2917	2629
526	2922	2622
527	2926	2616
528	2933	2612
529	2939	2606
530	2945	2601
531	2950	2595
532	2955	2589
533	2961	2584
534	2968	2579
535	2972	2573
536	2979	2568
537	2984	2563
538	2990	2557
539	2997	2553
540	3003	2548
541	3010	2544
542	3016	2539
543	3023	2534
544	3028	2528
545	3033	2522
546	3039	2517
547	3045	2512
548	3050	2506
549	3056	2501
550	3061	2494
551	3067	2489
552	3072	2483
553	3079	2478
554	3085	2473
555	3090	2468
556	3095	2462
557	3100	2455
558	3106	2450
559	3111	2444
560	3117	2439
561	3123	2433
562	3127	2427
563	3132	2421
564	3140	2417
565	3145	2411
566	3149	2405
567	3155	2400
568	3160	2394
569	3165	2388
570	3171	2383
571	3176	2376
572	3181	2370
573	3187	2365
574	3192	2359
575	3197	2353
576	3204	2349
577	3209	2343
578	3215	2337
579	3221	2332
580	3225	2326
581	3230	2320
582	3237	2315
583	3242	2309
584	3246	2303
585	3252	2297
586	3257	2292
587	3262	2286
588	3268	2281
589	3273	2274
590	3278	2268
591	3283	2262
592	3289	2257
593	3294	2251
594	3298	2245
595	3303	2239
596	3309	2234
597	3315	2228
598	3321	2223
599	3327	2218
600	3333	2213
601	3339	2207
602	3344	2201
603	3349	2196
604	3354	2190
605	3360	2184
606	3365	2179
607	3370	2173
608	3375	2167
609	3381	2161
610	3386	2155
611	3391	2150
612	3396	2144
613	3402	2139
614	3408	2133
615	3414	2128
616	3420	2123
617	3425	2117
618	3431	2112
619	3437	2106
620	3442	2100
621	3447	2095
622	3453	2089
623	3458	2083
624	3464	2078
625	3470	2073
626	3475	2067
627	3481	2062
628	3486	2056
629	3492	2051
630	3497	2045
631	3502	2039
632	3508	2034
633	3513	2028
634	3519	2023
635	3524	2017
636	3530	2011
637	3535	2006
638	3541	2000
639	3546	1994
640	3552	1989
641	3558	1984
642	3563	1978
643	3569	1973
644	3574	1967
645	3579	1961
646	3584	1955
647	3590	1950
648	3596	1944
649	3601	1939
650	3606	1933
651	3611	1927
652	3616	1921
653	3621	1916
654	3626	1910
655	3633	1905
656	3638	1899
657	3643	1893
658	3648	1887
659	3653	1881
660	3658	1876
661	3662	1870
662	3667	1864
663	3673	1858
664	3677	1852
665	3682	1846
666	3688	1841
667	3692	1835
668	3697	1829
669	3703	1823
670	3707	1817
671	3712	1811
672	3718	1806
673	3722	1800
674	3727	1794
675	3733	1789
676	3738	1783
677	3742	1777
678	3747	1771
679	3752	1765
680	3756	1759
681	3761	1754
682	3766	1748
683	3771	1742
684	3776	1736
685	3780	1730
686	3785	1724
687	3790	1718
688	3794	1712
689	3800	1707
690	3804	1701
691	3809	1695
692	3815	1690
693	3819	1684
694	3825	1678
695	3831	1673
696	3837	1668
697	3843	1662
698	3850	1658
699	3856	1652
700	3862	1647
701	3868	1642
702	3888	1642
703	3894	1637
704	3900	1631
705	3905	1626
706	3912	1621
707	3918	1616
708	3924	1610
709	3930	1605
710	3935	1599
711	3941	1594
712	3948	1589
713	3953	1583
714	3959	1578
715	3965	1572
716	3971	1567
717	3978	1562
718	3984	1557
719	3990	1551
720	3996	1546
721	4003	1541
722	4010	1536
723	4016	1531
724	4022	1525
725	4028	1520
726	4034	1515
727	4041	1510
728	4047	1504
729	4053	1499
730	4060	1494
731	4065	1488
732	4072	1483
733	4078	1478
734	4084	1472
735	4090	1467
736	4096	1461
737	4102	1456
738	4112	1452
