iter	RMSE
259	8287.079821
260	8277.939946
261	8258.333566
262	8244.437873
263	8233.500329
264	8227.94989
265	8217.512814
266	8193.775726
267	8160.71389
268	8146.365653
269	8139.764025
270	8123.553948
271	8109.831507
272	8093.344221
273	8082.759368
274	8064.550742
275	8051.439008
276	8031.903354
277	8019.519073
278	8010.346504
279	8001.556341
280	7993.128454
281	7985.044119
282	7974.061636
283	7960.476208
284	7952.711391
285	7945.38629
286	7935.40761
287	7927.080626
288	7909.487338
289	7900.53972
290	7891.092584
291	7872.28242
292	7853.908218
293	7842.555239
294	7833.413962
295	7824.623092
296	7812.701132
297	7803.535728
298	7791.966859
299	7778.096309
300	7771.567313
301	7767.627503
302	7761.65869
303	7755.823193
304	7751.094363
305	7725.860967
306	7715.703801
307	7704.550922
308	7695.495638
309	7686.840379
310	7675.958028
311	7667.714659
312	7655.532894
313	7650.937242
314	7625.829542
315	7603.546503
316	7582.510016
317	7558.260012
318	7545.655485
319	7535.466463
320	7515.920317
321	7505.905116
322	7499.280166
323	7478.508408
324	7474.408514
325	7466.011912
326	7457.408943
327	7432.860022
328	7426.506345
329	7416.743666
330	7401.689691
331	7382.018754
332	7377.302772
333	7369.77373
334	7360.455242
335	7347.44313
336	7333.972743
337	7328.143089
338	7322.708231
339	7304.110242
340	7298.324636
341	7279.846297
342	7262.455179
343	7249.123418
344	7240.732411
345	7224.311205
346	7208.901986
347	7198.246189
348	7190.303613
349	7186.247257
350	7174.005261
351	7158.222323
352	7138.354757
353	7133.132421
354	7124.872701
355	7115.793106
356	7098.591413
357	7088.413637
358	7076.504824
359	7073.575485
360	7068.607297
361	7040.981574
362	7028.82954
363	7010.796464
364	6998.653199
365	6989.12122
366	6981.738452
367	6962.220844
368	6950.823691
369	6946.013611
370	6934.804104
371	6920.368404
372	6916.354518
373	6898.733543
374	6894.13942
375	6883.515538
376	6871.59204
377	6861.801891
378	6848.336327
379	6841.040362
380	6831.657956
381	6823.485993
382	6812.863068
383	6805.160315
384	6796.30478
385	6786.549166
386	6771.715973
387	6765.199074
388	6757.027676
389	6750.884808
390	6744.869014
391	6736.619823
392	6723.590399
393	6713.405355
394	6706.153288
395	6693.002614
396	6682.700906
397	6672.851679
398	6663.3929
399	6649.695399
400	6640.730995
401	6632.822236
402	6624.32767
403	6610.49303
404	6597.884483
405	6593.014758
406	6585.832378
407	6577.819228
408	6567.38117
409	6558.881526
410	6542.096849
411	6529.010931
412	6518.281081
413	6513.438678
414	6505.256082
415	6489.730569
416	6487.712366
417	6479.060136
418	6472.254736
419	6462.550549
420	6451.864648
421	6442.165621
422	6431.553027
423	6420.938013
424	6415.830802
425	6409.51281
426	6405.725466
427	6397.432996
428	6388.116525
429	6380.088706
430	6368.312147
431	6359.263121
432	6346.67126
433	6339.29016
434	6332.157109
435	6326.52951
436	6318.837974
437	6310.686302
438	6305.146481
439	6296.348885
440	6288.953464
441	6280.528879
442	6272.589514
443	6265.55405
444	6257.793638
445	6247.549261
446	6240.258628
447	6233.131583
448	6221.607463
449	6211.226856
450	6207.376799
451	6197.984911
452	6185.728103
453	6179.066671
454	6174.329879
455	6164.514304
456	6156.689527
457	6145.135571
458	6140.646888
459	6128.287609
460	6118.894452
461	6113.907573
462	6103.231649
463	6097.14729
464	6092.594091
465	6085.985202
466	6079.872623
467	6075.60944
468	6069.760919
469	6063.407602
470	6057.788964
471	6054.52939
472	6049.208306
473	6040.096806
474	6033.213466
475	6022.127196
476	6012.326301
477	6007.513128
478	5998.882659
479	5993.437656
480	5987.957567
481	5982.426113
482	5971.412157
483	5961.682789
484	5951.418863
485	5949.175771
486	5946.552655
487	5945.095739
488	5935.049795
489	5927.02531
490	5918.828323
491	5910.714108
492	5909.087025
493	5902.101672
494	5894.318891
495	5889.524142
496	5886.103242
497	5872.336453
498	5860.807582
499	5848.534432
500	5843.488141
501	5839.595148
502	5835.783647
503	5830.94262
504	5825.338316
505	5820.67926
506	5815.029354
507	5810.728621
508	5806.267959
509	5795.144449
510	5790.101193
511	5783.047116
512	5774.974152
513	5771.939811
514	5767.648895
515	5759.947132
516	5753.846061
517	5746.926005
518	5735.166826
519	5730.405196
520	5717.889941
521	5710.868691
522	5705.643684
523	5699.068675
524	5696.122668
525	5687.307036
526	5678.300664
527	5670.700052
528	5659.964408
529	5653.684023
530	5648.279909
531	5638.83002
532	5633.649583
533	5628.309715
534	5622.514937
535	5614.700657
536	5608.290545
537	5596.087939
538	5587.310673
539	5585.568783
540	5575.429214
541	5569.000617
542	5563.961871
543	5557.849252
544	5550.13353
545	5541.157051
546	5537.804979
547	5531.94909
548	5527.305134
549	5516.588186
550	5507.59853
551	5503.9367
552	5494.518717
553	5484.355715
554	5480.135858
555	5477.242079
556	5473.667268
557	5468.917815
558	5465.725692
559	5459.897695
560	5450.752435
561	5447.987008
562	5440.018377
563	5437.363572
564	5430.081988
565	5426.64017
566	5422.836972
567	5418.964118
568	5417.089256
569	5411.333018
570	5404.99742
571	5396.942097
572	5392.435339
573	5387.344646
574	5378.180455
575	5372.640918
576	5367.53491
577	5363.221825
578	5359.39929
579	5354.898429
580	5348.073873
581	5344.845446
582	5340.256499
583	5335.998191
584	5332.789444
585	5324.139746
586	5317.624564
587	5310.266939
588	5304.8613
589	5300.032989
590	5289.559666
591	5279.660835
592	5270.099125
593	5266.179118
594	5262.155235
595	5259.416636
596	5254.22478
597	5248.996673
598	5245.779814
599	5242.736261
600	5238.638711
601	5232.776111
602	5229.389483
603	5225.595571
604	5219.616988
605	5213.994439
606	5211.554096
607	5208.931111
608	5205.126722
609	5197.957366
610	5193.028845
611	5187.644511
612	5185.380049
613	5176.933755
614	5172.421738
615	5168.98902
616	5159.543378
617	5153.547495
618	5150.682168
619	5140.491233
620	5134.855941
621	5128.565647
622	5125.475414
623	5120.701704
624	5115.705941
625	5111.679322
626	5108.280245
627	5100.320176
628	5096.745165
629	5088.796536
630	5081.668303
631	5079.361726
632	5077.224474
633	5072.467548
634	5068.36218
635	5065.175597
636	5062.334611
637	5057.820012
638	5053.653668
639	5051.665811
640	5047.907055
641	5043.777607
642	5039.809738
643	5037.278119
644	5034.847068
645	5030.807766
646	5027.335462
647	5024.230125
648	5018.562215
649	5015.952795
650	5012.963292
651	5005.228292
652	5002.506815
653	4995.177693
654	4986.377804
655	4983.772776
656	4980.749853
657	4977.609933
658	4975.7258
659	4973.867478
660	4969.012723
661	4960.953268
662	4956.514246
663	4953.075224
664	4949.377933
665	4945.03058
666	4941.865283
667	4939.658514
668	4933.683656
669	4927.631322
670	4923.910153
671	4917.625775
672	4911.847368
673	4908.08484
674	4901.589608
675	4897.340908
676	4891.915891
677	4886.468757
678	4883.814392
679	4879.833571
680	4877.220837
681	4873.502526
682	4868.06233
683	4865.945322
684	4860.103001
685	4856.094044
686	4848.182099
687	4846.548612
688	4837.943782
689	4833.46271
690	4831.055449
691	4827.6376
692	4824.982625
693	4822.911295
694	4819.654549
695	4815.289037
696	4811.752439
697	4807.563172
698	4803.70195
699	4798.36695
700	4796.38038
701	4791.427641
702	4784.229442
703	4782.447647
704	4778.2753
705	4773.647379
706	4768.642815
707	4765.08786
708	4760.556062
709	4756.583404
710	4754.907774
711	4750.306383
712	4745.16994
713	4739.409587
714	4735.548216
715	4732.600473
716	4726.530845
717	4718.197555
718	4716.731214
719	4714.167236
720	4708.900911
721	4705.690374
722	4703.306635
723	4698.648377
724	4693.766011
725	4690.593325
726	4683.164476
727	4676.334598
728	4671.811746
729	4667.577421
730	4662.845896
731	4658.798149
732	4653.580038
733	4649.910115
734	4642.687823
735	4637.280549
736	4634.588207
737	4629.509119
738	4624.894982
739	4618.857224
740	4614.868485
741	4607.165386
742	4605.027169
743	4599.560504
744	4596.187173
745	4593.340533
746	4589.821077
747	4587.221146
748	4585.234373
749	4581.625987
750	4579.86123
751	4576.515188
752	4574.671071
753	4572.168205
754	4568.808561
755	4564.539665
756	4559.627682
757	4557.578046
758	4552.108087
759	4549.329637
760	4545.312837
761	4544.548988
762	4543.825948
763	4541.413017
764	4539.651355
765	4537.146843
766	4533.130001
767	4531.707278
768	4526.239188
769	4520.244826
770	4514.079422
771	4510.924859
772	4507.064708
773	4503.9676
774	4498.763019
775	4493.100465
776	4487.723796
777	4486.542362
778	4483.691845
779	4479.218648
780	4474.329535
781	4471.03163
782	4468.402475
783	4464.803429
784	4460.081291
785	4458.983949
786	4455.601638
787	4451.093686
788	4449.22261
789	4442.798692
790	4439.626242
791	4434.144095
792	4431.279214
793	4427.77744
794	4424.787575
795	4420.613022
796	4415.493387
797	4411.985723
798	4407.53013
799	4401.274403
800	4396.17653
801	4392.97471
802	4388.041413
803	4382.921409
804	4376.518109
805	4370.062642
806	4362.884723
807	4360.685144
808	4358.977646
809	4352.335533
810	4350.252098
811	4347.999989
812	4346.97243
813	4340.337432
814	4336.864512
815	4333.386724
816	4327.893624
817	4326.925654
818	4325.254356
819	4322.452611
820	4318.820464
821	4315.649536
822	4313.182094
823	4309.494821
824	4306.828669
825	4303.083004
826	4300.421084
827	4297.995315
828	4291.942402
829	4286.970322
830	4284.511762
831	4281.903768
832	4277.162972
833	4274.550458
834	4272.228231
835	4270.331773
836	4268.381467
837	4265.633942
838	4263.124594
839	4258.553585
840	4255.611714
841	4251.407469
842	4247.283672
843	4241.466023
844	4239.664402
845	4238.160471
846	4234.328342
847	4230.019957
848	4229.157112
849	4225.914834
850	4224.026064
851	4221.461215
852	4217.302675
853	4215.512323
854	4210.224117
855	4208.086414
856	4205.017895
857	4202.031692
858	4196.435895
859	4192.503758
860	4188.410456
861	4186.0016
862	4182.433085
863	4180.633571
864	4177.663162
865	4173.788714
866	4171.407507
867	4167.755128
868	4162.805746
869	4158.027409
870	4154.687963
871	4151.29657
872	4150.044968
873	4145.999269
874	4142.300495
875	4139.318287
876	4135.693044
877	4132.452339
878	4128.750628
879	4127.086422
880	4122.377858
881	4118.563616
882	4117.369855
883	4114.252946
884	4112.587152
885	4108.670527
886	4104.355544
887	4101.717372
888	4097.139061
889	4095.810335
890	4094.010208
891	4092.302957
892	4090.7639
893	4089.270121
894	4086.344512
895	4081.033639
896	4078.784894
897	4075.380342
898	4071.696915
899	4070.357437
900	4065.899888
901	4060.680188
902	4058.628444
903	4057.35442
904	4054.188356
905	4050.587048
906	4047.14827
907	4044.03974
908	4040.456732
909	4036.866826
910	4032.881271
911	4030.779872
912	4029.377831
913	4027.712048
914	4024.709392
915	4021.20327
916	4020.167716
917	4016.71404
918	4015.64435
919	4011.092195
920	4010.1409
921	4007.639707
922	4005.730322
923	4002.331002
924	4000.075721
925	3997.883328
926	3994.941944
927	3992.336454
928	3986.026612
929	3982.294836
930	3981.315813
931	3979.991313
932	3978.478588
933	3976.83781
934	3974.457287
935	3971.243949
936	3967.912159
937	3965.731247
938	3964.572837
939	3961.764213
940	3956.80606
941	3953.7499
942	3952.616635
943	3951.279129
944	3948.162295
945	3944.117882
946	3939.156941
947	3936.441018
948	3935.159807
949	3931.320475
950	3928.083534
951	3927.046045
952	3925.275212
953	3923.926114
954	3921.014633
955	3917.752568
956	3914.967817
957	3913.847683
958	3910.855253
959	3908.973435
960	3905.951214
961	3904.958861
962	3900.229037
963	3897.506685
964	3895.252337
965	3891.863175
966	3889.113424
967	3886.2517
968	3882.94112
969	3882.47286
970	3881.900526
971	3880.704902
972	3879.397738
973	3875.662086
974	3870.785349
975	3865.045641
976	3864.04678
977	3863.094803
978	3860.685255
979	3855.364955
980	3854.451496
981	3851.637017
982	3848.605939
983	3844.194242
984	3840.918262
985	3838.37456
986	3837.519851
987	3834.196506
988	3832.769709
989	3831.609354
990	3827.60477
991	3824.173494
992	3820.69428
993	3818.764288
994	3814.759685
995	3812.075554
996	3811.1544
997	3809.009274
998	3806.532532
999	3805.772391
